FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36059300100,Census Tract 3001,Nassau County,New York,0.4619,0.637240356083086,0.6097922848664689,0.871625245843018,0.5076685795033518,0.005096262740656852,0.0,0.0,,,0.03375843960990248
36059300300,Census Tract 3003,Nassau County,New York,0.5122,0.21255673222390317,0.29652042360060515,0.6377038195220014,-0.14776014826869188,0.016025641025641024,0.0,0.06582633053221289,0.0,0.34146341463414637,0.07809762202753442
36059300400,Census Tract 3004,Nassau County,New York,0.46,0.3751263902932255,0.3564206268958544,0.7458605499012608,0.22520192975402942,0.0,,0.08250825082508251,,0.2953020134228188,0.0690965624460183
36059300500,Census Tract 3005,Nassau County,New York,0.551,0.4266399599399099,0.4611917876815223,0.8090614886731392,0.48816337801877796,0.006856540084388186,0.0,0.0,0.0,0.0,0.05764325794932835
36059300600,Census Tract 3006,Nassau County,New York,0.5007,0.3645965356991973,0.3312209547950993,0.5802174884552361,0.06999999999999995,0.022756005056890013,0.0,0.022900763358778626,,0.0,0.06023909330849247
36059300700,Census Tract 3007,Nassau County,New York,0.4686,0.15715948777648428,0.20168800931315484,0.6130568356374808,0.3543169732073299,0.0,0.0,0.0,,0.0,0.03130068115471943
36059300800,Census Tract 3008,Nassau County,New York,0.4588,0.2664941785252264,0.22121604139715395,0.4675137856629106,0.30619555564425194,0.022900763358778626,0.13414634146341464,0.0,0.0,0.2857142857142857,0.07198394783044897
36059300901,Census Tract 3009.01,Nassau County,New York,0.4218,0.6662162162162162,0.29864864864864865,0.34407079646017696,-0.3581276738842081,0.0,,0.0,,0.0,0.08083724287260917
36059300902,Census Tract 3009.02,Nassau County,New York,0.4903,0.5252263906856404,0.4023285899094437,0.6,0.2232760231732387,0.0,0.0,0.0026595744680851063,0.0,0.0,0.040991606480577786
36059301000,Census Tract 3010,Nassau County,New York,0.5213,0.6140443505807814,0.573389651531151,0.8072533136966127,0.4684632752077629,0.0,0.0,0.0,0.0,0.0,0.01133307721859393
36059301101,Census Tract 3011.01,Nassau County,New York,0.4551,0.15177252584933532,0.2614475627769572,0.5318227738490403,0.3863199097724408,0.0,0.0,0.24766977363515313,0.0,0.0,0.06457925636007827
36059301102,Census Tract 3011.02,Nassau County,New York,0.4799,0.4052319842053307,0.412142152023692,0.7478787878787879,0.39556108949416346,0.0,0.0,0.0,,0.0,0.009841677364142062
36059301200,Census Tract 3012,Nassau County,New York,0.4752,0.5465166594547815,0.4876676763305928,0.7974723538704581,0.4460593116287569,0.0,0.45454545454545453,0.08888888888888889,0.0,0.0,0.009307135470527405
36059301300,Census Tract 3013,Nassau County,New York,0.4952,0.3186544342507645,0.3204892966360856,0.5596187512157168,-0.19545733444361657,0.06824925816023739,0.12213740458015267,0.1372972972972973,,0.24897959183673468,0.034613761080624736
36059301400,Census Tract 3014,Nassau County,New York,0.3272,0.6330935251798561,0.6589928057553956,0.759743237047226,0.3822069950035689,0.0,,0.05844155844155844,,0.0,0.017076845806127575
36059301500,Census Tract 3015,Nassau County,New York,0.4772,0.7104984093319194,0.6564156945917285,0.8092991913746631,0.56500173999304,0.02,0.0,0.037037037037037035,,0.0,0.014840989399293287
36059301600,Census Tract 3016,Nassau County,New York,0.4801,0.5860349127182045,0.550498753117207,0.6941717150616252,0.46500213999144,0.0,0.05405405405405406,0.0,0.0,0.0,0.027079303675048357
36059301700,Census Tract 3017,Nassau County,New York,0.442,0.6909975669099757,0.6399026763990268,0.6378939828080229,0.33040935672514615,0.0,0.0,0.0,0.0,0.0,0.008027522935779817
36059301800,Census Tract 3018,Nassau County,New York,0.545,0.2849936948297604,0.20239596469104665,0.1437473141383756,0.2811415349016583,0.08203530633437175,0.20123022847100175,0.08531746031746032,0.04741379310344827,0.0,0.03416557161629435
36059301900,Census Tract 3019,Nassau County,New York,0.4966,0.6645636172450052,0.45215562565720296,0.6356816699282453,0.33211678832116787,0.0,,0.0,,0.0,0.010055478502080445
