FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
36059300100,Census Tract 3001.00,Nassau County,New York,8.25491287671233,0.475920679886685,0.502015233,40.0,0.5,143.25735481562555,26.90807811136679,15.617606881146113,0.300334161539242,0.068275522341164,0.906099124123509,72.94039999999998,0.132899002857982
36059300300,Census Tract 3003.00,Nassau County,New York,8.20628739726027,0.618727050183598,0.532023403,40.0,0.5,143.66828102217949,75.14970004518376,14.77283293269658,0.416356498461325,0.06245278884359,1.056977218734402,72.05331,0.272501141594444
36059300400,Census Tract 3004.00,Nassau County,New York,8.15995369863014,0.731284085275161,0.52734874,40.0,0.5,140.7028304210982,86.31610406989945,11.4004009102744,0.488581448517092,0.062056004257077,1.406897595461872,72.37653,0.0
36059300500,Census Tract 3005.00,Nassau County,New York,8.15935671232877,0.706777316735823,0.490308354,30.0,0.4,139.1190328872071,161.19490686753036,13.685508145296732,1.547168675478707,0.059200488284077,2.995778493316402,71.34829,1.371114466484009
36059300600,Census Tract 3006.00,Nassau County,New York,8.10208273972603,0.72543352601156,0.554932841,30.0,0.4,129.82608264243322,166.85758788506382,9.892885192400591,0.776392992842878,0.063763100404748,3.759479869588576,71.78087,3.556157425118249
36059300700,Census Tract 3007.00,Nassau County,New York,8.11053890410959,0.549584487534626,0.520145766,30.0,0.4,128.5922993891581,348.2997162504694,10.470652995309203,1.361240622077832,0.062256615040733,5.21853709437977,71.5774,1.158628113540733
36059300800,Census Tract 3008.00,Nassau County,New York,8.08067534246575,0.903103229892337,0.549810753,30.0,0.4,128.47018412918771,730.1039352266865,9.977191357764344,1.180470741338917,0.061544907032584,3.600464051902019,70.91058,11.08235556635452
36059300901,Census Tract 3009.01,Nassau County,New York,7.96446054794521,0.635778635778635,0.525174162,30.0,0.4,125.41274278044554,757.4397554859582,8.288398335737977,0.557811728533946,0.066572518960042,3.937713382938473,71.28966,4.62341228096075
36059300902,Census Tract 3009.02,Nassau County,New York,7.96446054794521,0.075363427697016,0.525174162,30.0,0.4,114.79093742069912,1064.7809759370607,5.756917168932468,0.41693689057522,0.08605602105948,2.675129967523792,71.28966,0.314761498767204
36059301000,Census Tract 3010.00,Nassau County,New York,8.20623945205479,0.521076233183856,0.424471578,40.0,0.4,103.44177129982296,50.553696485765855,5.281001351079741,1.044662512647915,0.081206840470032,0.419941196675955,75.18683,0.410986278352261
36059301101,Census Tract 3011.01,Nassau County,New York,8.24625616438356,0.221216041397153,0.437120584,40.0,0.4,131.3757216762363,46.58840951928264,7.659274858417625,0.208939279607677,0.081841378242237,0.169667466490943,75.04734,0.465574551201121
36059301102,Census Tract 3011.02,Nassau County,New York,8.22609671232877,0.307339449541284,0.431179404,40.0,0.4,86.60778437020079,55.976240596364015,6.572394279267569,0.423879049857049,0.083337116985814,0.18296984740048,75.28851,1.219559426912265
36059301200,Census Tract 3012.00,Nassau County,New York,8.15515753424657,0.726931106471816,0.45916797,40.0,0.4,119.1270727842174,138.90649107873847,7.060943143684703,0.616920624504603,0.071096043502988,0.402485253867227,74.14341,3.416736300178
36059301300,Census Tract 3013.00,Nassau County,New York,8.14440739726027,0.761877172653534,0.442677774,40.0,0.4,86.37171354268203,152.15671690156555,6.397929837697006,0.914446045641586,0.07455137526517,0.324947034042476,74.33583,2.806936119175971
36059301400,Census Tract 3014.00,Nassau County,New York,8.02204356164384,0.991596638655462,0.423729675,40.0,0.4,97.96070021803466,140.72161582681258,6.049390351181943,1.410574754318741,0.074699179924305,0.785326302573643,73.41253,3.21057950031555
36059301500,Census Tract 3015.00,Nassau County,New York,8.10912684931507,0.746268656716418,0.500700703,40.0,0.4,133.11471773861538,83.18218414396614,7.866001127342154,0.686777530330462,0.068848746896923,1.295801586689846,73.1474,0.0
36059301600,Census Tract 3016.00,Nassau County,New York,8.02265123287671,0.58816351433801,0.4754058,30.0,0.4,100.1184137224906,151.87011705284937,6.106271062852315,0.982762327180434,0.080846449006675,1.808285054664789,73.04112,0.765340076100542
36059301700,Census Tract 3017.00,Nassau County,New York,8.01846109589041,0.921334922526817,0.498770861,40.0,0.5,105.8930115722855,116.5927435929797,6.433046112583482,0.7925612819555,0.078881184612674,1.664093054749733,72.60926,0.566866891906372
36059301800,Census Tract 3018.00,Nassau County,New York,8.02980109589041,0.780681818181818,0.526892571,30.0,0.4,125.49207928309691,167.89323851477934,7.913351760858157,0.555834584004925,0.070120065422183,2.933618316403073,71.92149,2.626285574772459
36059301900,Census Tract 3019.00,Nassau County,New York,7.99780904109589,0.814475025484199,0.506096633,30.0,0.5,115.27152195654838,131.7439461993419,6.359647558151289,0.714660642327419,0.080431102089032,2.150306660516452,72.27451999999998,2.094359060367742
