FIPS,Tract,County,State,LILATracts_Vehicle
36059300100,Census Tract 3001,Nassau County,New York,0
36059300300,Census Tract 3003,Nassau County,New York,0
36059300400,Census Tract 3004,Nassau County,New York,0
36059300500,Census Tract 3005,Nassau County,New York,0
36059300600,Census Tract 3006,Nassau County,New York,0
36059300700,Census Tract 3007,Nassau County,New York,0
36059300800,Census Tract 3008,Nassau County,New York,0
36059300900,Census Tract 3009,Nassau County,New York,0
36059301000,Census Tract 3010,Nassau County,New York,0
36059301101,Census Tract 3011.01,Nassau County,New York,0
36059301102,Census Tract 3011.02,Nassau County,New York,0
36059301200,Census Tract 3012,Nassau County,New York,0
36059301300,Census Tract 3013,Nassau County,New York,0
36059301400,Census Tract 3014,Nassau County,New York,0
36059301500,Census Tract 3015,Nassau County,New York,0
36059301600,Census Tract 3016,Nassau County,New York,0
36059301700,Census Tract 3017,Nassau County,New York,0
36059301800,Census Tract 3018,Nassau County,New York,0
36059301900,Census Tract 3019,Nassau County,New York,0
36059302000,Census Tract 3020,Nassau County,New York,0
36059302101,Census Tract 3021.01,Nassau County,New York,0
36059302102,Census Tract 3021.02,Nassau County,New York,0
36059302200,Census Tract 3022,Nassau County,New York,0
36059302300,Census Tract 3023,Nassau County,New York,0
36059302400,Census Tract 3024,Nassau County,New York,0
36059302501,Census Tract 3025.01,Nassau County,New York,0
36059302502,Census Tract 3025.02,Nassau County,New York,0
36059302600,Census Tract 3026,Nassau County,New York,0
36059302700,Census Tract 3027,Nassau County,New York,0
36059302800,Census Tract 3028,Nassau County,New York,0
36059302900,Census Tract 3029,Nassau County,New York,0
36059303000,Census Tract 3030,Nassau County,New York,0
36059303101,Census Tract 3031.01,Nassau County,New York,0
36059303102,Census Tract 3031.02,Nassau County,New York,0
36059303201,Census Tract 3032.01,Nassau County,New York,0
36059303202,Census Tract 3032.02,Nassau County,New York,0
36059303301,Census Tract 3033.01,Nassau County,New York,0
36059303302,Census Tract 3033.02,Nassau County,New York,0
36059303400,Census Tract 3034,Nassau County,New York,0
36059303500,Census Tract 3035,Nassau County,New York,0
36059303600,Census Tract 3036,Nassau County,New York,0
36059303700,Census Tract 3037,Nassau County,New York,0
36059303800,Census Tract 3038,Nassau County,New York,0
36059303900,Census Tract 3039,Nassau County,New York,0
36059304001,Census Tract 3040.01,Nassau County,New York,0
36059304002,Census Tract 3040.02,Nassau County,New York,0
36059304100,Census Tract 3041,Nassau County,New York,0
36059304202,Census Tract 3042.02,Nassau County,New York,0
