FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
36059300100,Nassau County,New York,75.8,86.8,75.9,10.3,24.2,19.4,18.5,30.9,7.0,10.0,8.5,13.5,17.0,7.9,26.1,77.8,5.2,2.4,2.5,9.5,5.1,8.9,77.9,74.7
36059300300,Nassau County,New York,76.3,86.5,74.5,11.4,26.8,22.9,15.4,32.0,7.7,12.2,9.6,12.6,16.1,9.9,29.7,79.8,5.9,2.9,3.0,9.6,5.8,9.9,79.6,71.9
36059300400,Nassau County,New York,76.2,86.9,75.6,11.0,26.1,22.1,15.2,31.3,8.3,11.5,9.4,12.3,16.2,9.7,30.2,80.5,6.1,2.9,3.0,9.5,5.8,9.0,80.1,73.3
36059300500,Nassau County,New York,77.3,87.6,77.0,9.5,25.2,20.3,14.5,30.2,8.5,10.4,8.7,11.1,15.4,9.7,30.7,81.5,6.0,2.7,3.0,9.1,5.3,7.3,81.1,76.0
36059300600,Nassau County,New York,77.9,87.2,76.3,8.2,23.6,19.3,14.0,30.2,8.2,9.3,8.0,10.4,14.3,9.4,29.4,81.4,5.4,2.5,2.8,8.8,4.6,6.2,81.2,77.4
36059300700,Nassau County,New York,76.9,88.0,78.1,8.4,23.3,21.3,13.6,29.3,10.2,10.4,8.6,10.4,14.4,9.3,31.6,82.9,6.5,3.1,3.4,8.8,5.3,7.4,81.9,76.5
36059300800,Nassau County,New York,76.6,85.8,75.0,9.0,23.0,20.3,14.5,31.7,7.0,9.4,7.7,10.6,13.7,9.1,27.2,79.6,4.7,2.3,2.5,8.5,4.2,6.7,79.9,75.7
36059300900,Nassau County,New York,76.7,85.5,78.6,7.0,21.0,21.4,10.6,28.4,11.0,10.3,8.4,8.6,12.1,11.1,35.0,85.8,7.2,3.3,3.6,8.0,5.3,6.6,84.4,78.1
36059301000,Nassau County,New York,77.6,88.9,77.9,7.7,24.3,18.1,14.1,28.9,9.1,9.0,8.0,9.8,14.4,9.4,31.0,82.4,5.8,2.6,2.9,8.7,4.7,5.5,82.3,79.4
36059301101,Nassau County,New York,76.4,85.4,71.6,11.9,27.9,24.1,15.6,33.8,5.9,12.2,9.1,12.9,15.6,9.6,26.4,76.3,4.6,2.3,2.5,9.3,4.9,9.5,77.8,69.0
36059301102,Nassau County,New York,76.0,87.5,76.2,10.8,26.2,22.2,14.0,31.0,8.9,11.7,9.5,11.4,15.6,10.4,32.0,81.9,6.4,3.0,3.2,9.3,6.0,8.4,81.2,74.0
36059301200,Nassau County,New York,77.4,89.6,77.5,8.0,25.0,17.5,16.2,29.8,7.9,8.4,7.5,10.4,14.9,8.1,27.3,79.2,4.7,2.2,2.6,8.8,4.2,5.5,80.4,79.1
36059301300,Nassau County,New York,76.6,86.3,72.7,11.2,28.1,25.1,15.0,32.9,7.1,13.3,9.7,12.5,15.2,10.5,29.2,78.9,5.6,2.8,3.0,9.4,5.4,10.5,79.2,69.4
36059301400,Nassau County,New York,78.3,90.3,78.8,7.4,23.9,15.3,16.9,29.3,7.4,7.2,6.8,10.1,15.0,7.1,25.3,77.7,4.0,1.9,2.3,8.8,3.6,4.5,79.9,81.1
36059301500,Nassau County,New York,78.5,89.7,77.3,7.2,24.0,15.8,15.9,28.8,8.1,7.6,7.1,10.0,14.9,7.8,27.4,79.8,4.7,2.2,2.5,8.8,3.9,4.7,81.0,81.2
36059301600,Nassau County,New York,77.6,88.4,76.2,8.1,23.8,17.7,15.6,29.9,7.6,8.7,7.5,10.4,14.6,8.4,27.3,79.4,4.8,2.3,2.6,8.8,4.2,5.8,80.3,78.5
36059301700,Nassau County,New York,78.6,90.3,78.7,6.7,24.2,14.9,16.4,28.7,7.6,7.2,6.8,9.9,14.9,7.6,26.5,79.0,4.4,2.0,2.4,8.7,3.6,4.0,80.5,81.5
36059301800,Nassau County,New York,77.4,86.9,75.5,10.8,27.5,23.6,14.4,33.7,7.7,12.0,9.2,11.9,14.6,10.6,31.3,80.8,5.6,3.0,3.1,9.5,5.3,9.2,80.9,72.0
36059301900,Nassau County,New York,77.2,89.3,77.3,8.0,24.3,17.2,15.6,29.4,8.3,8.2,7.4,10.1,14.7,8.3,28.2,80.3,5.0,2.3,2.6,8.7,4.2,5.3,81.0,79.9
36059302000,Nassau County,New York,78.0,89.3,76.5,7.4,23.9,18.0,15.0,29.2,8.7,8.6,7.6,10.1,14.3,8.4,28.7,80.9,5.3,2.5,2.8,8.7,4.3,5.8,81.2,79.2
36059302101,Nassau County,New York,77.6,88.9,75.9,8.7,25.3,18.0,15.8,30.5,7.6,8.8,7.8,10.9,15.2,8.5,27.9,79.4,4.9,2.3,2.6,9.0,4.3,6.1,80.4,78.2
